genres,game,release_date,tags,specs,price,id,developer
9,Garry's Mod,588,139,15,2,4000,3120
13,RACE - The WTCC Game,587,129,15,2,4230,7941
4,Zen of Sudoku,593,26,15,0,4900,9345
4,Gumboy - Crazy Adventures™,597,26,15,1,2520,1496
16,Ghost Master®,354,160,15,1,6200,7900
16,Vegas: Make It Big™,599,160,15,1,6210,2390
1,Dreamfall: The Longest Journey,524,7,15,2,6300,3480
13,FlatOut 2™,548,129,15,2,2990,1414
13,FlatOut,474,129,15,2,6220,1414
0,Lost Planet™: Extreme Condition,653,5,15,2,6510,1478
16,CivCity: Rome,546,160,15,2,3980,3254
12,Arx Fatalis,326,126,15,1,1700,692
0,The Longest Journey,237,7,15,2,6310,3480
16,Civilization IV®: Warlords,546,160,15,1,3990,3238
16,Railroad Tycoon 3,368,160,15,2,7610,6897
16,Sid Meier's Railroads!,573,160,15,2,7600,3241
16,Railroad Tycoon II Platinum,171,160,15,1,7620,6897
4,RIP - Trilogy™,647,79,15,1,2540,2877
16,X-COM: Terror From the Deep,75,160,15,1,7650,5690
0,Tomb Raider: Anniversary,648,5,15,2,8000,2070
0,Devil May Cry® 3 Special Edition,532,5,15,2,6550,1478
0,Sam & Max 101: Culture Shock,574,117,15,2,8200,8788
0,Final DOOM,100,54,15,1,2290,10222
0,Sam & Max 102: Situation: Comedy,598,7,15,2,8210,8788
0,Ultimate Doom,76,31,15,1,2280,10222
0,Master Levels for Doom II,78,5,15,2,9160,10222
0,DOOM II,56,31,15,1,2300,10222
0,Wolfenstein 3D,61,54,15,1,2270,10222
0,Return to Castle Wolfenstein,289,54,15,1,9010,3821
0,QUAKE Mission Pack 1: Scourge of Armagon,116,5,15,1,9040,7408
0,Spear of Destiny,42,5,15,1,9000,10222
0,BloodRayne,356,5,15,2,3810,8804
0,QUAKE Mission Pack 2: Dissolution of Eternity,661,5,15,1,9030,7484
0,QUAKE,646,54,15,1,2310,10222
16,Genesis Rising,621,160,15,1,3230,5645
16,"Warhammer® 40,000: Dawn of War® – Winter Assault",507,160,15,2,9310,7304
0,BioShock™,666,54,15,2,7670,67
16,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",507,160,15,2,4570,7304
16,"Warhammer® 40,000: Dawn of War® - Dark Crusade",570,160,15,2,4580,7304
16,Rome: Total War™ - Collection,426,160,15,2,4760,8840
16,Rome: Total War™ - Alexander,541,160,15,1,4770,8840
4,Mystery Case Files: Madame Fate®,705,26,15,2,50970,1067
0,Manhunt,401,68,15,2,12130,7463
13,Midnight Club 2,347,129,15,2,12160,7466
0,Max Payne 2: The Fall of Max Payne,365,105,15,2,12150,7318
0,Tomb Raider: Legend,520,7,15,2,7000,2068
0,Max Payne,269,105,15,2,12140,7318
16,Command & Conquer: Red Alert 3,808,160,15,2,17480,2740
4,PuzzleQuest: Challenge of the Warlords,682,122,15,2,12500,4362
12,Culpa Innata,687,7,15,2,12310,5823
16,Prison Tycoon 3™: Lockdown,660,160,15,2,12510,3607
0,Hunting Unlimited™ 2008,670,5,15,2,12530,7588
13,18 Wheels of Steel: American Long Haul,703,146,15,2,12520,7588
0,Conflict: Denied Ops,715,5,15,2,8100,6737
0,ARMA: Combat Operations,635,5,15,2,2780,1287
0,Desperados 2: Cooper's Revenge,528,5,15,2,9710,8206
0,Death to Spies,685,157,15,1,9800,3922
0,Act of War: High Treason,534,5,15,1,9760,2997
14,RollerCoaster Tycoon® 3: Platinum,578,146,15,2,2700,3447
0,Act of War: Direct Action,449,5,15,1,2710,2997
0,Unreal 2: The Awakening,330,5,15,2,13200,2955
0,Unreal Gold,154,31,15,2,13250,2955
4,Ninja Reflex: Steamworks Edition,729,79,15,1,13000,7707
0,Tom Clancy's Splinter Cell®,332,157,15,2,13560,9274
0,Far Cry®,397,54,15,2,13520,2078
0,Unreal Tournament: Game of the Year Edition,232,31,15,2,13240,2955
0,Tom Clancy's Rainbow Six® Vegas,592,5,15,2,13540,9284
14,Silent Hunter® III,450,146,15,2,15210,9274
4,Virtual Villagers - The Secret City,750,26,15,2,16180,5070
4,Mystery P.I.™ - The Vegas Heist,753,26,15,1,3520,8233
4,Luxor,754,26,15,2,15970,5900
4,Reaxxion,754,26,15,2,15950,5900
4,Little Farm,754,26,15,2,15960,5900
4,7 Wonders II,754,26,15,2,15900,5900
4,Luxor Amun Rising,506,26,15,2,15910,5900
4,Luxor 3,696,26,15,2,15930,5900
14,Petz® Horsez® 2,696,146,15,2,15160,9274
4,Luxor 2,506,26,15,2,15920,5900
0,Rayman Raving Rabbids™,624,7,15,2,15080,9281
14,Silent Hunter®: Wolves of the Pacific,621,146,15,2,15200,9296
14,IL-2 Sturmovik: 1946,594,146,15,2,15320,34
14,Silent Hunter®: Wolves of the Pacific U-Boat Missions,730,146,15,2,15240,9296
1,Bone: Out From Boneville,485,7,15,2,8310,8788
13,Midnight Outlaw: 6 Hours to SunUp,472,129,15,2,12600,5638
1,Bone: The Great Cow Race,522,7,15,2,8320,8788
13,Sprint Cars Road to Knoxville,769,129,15,2,12590,1079
14,Ride! Carnival Tycoon,655,146,15,2,12560,3548
4,Mahjongg Investigations: Under Suspicion,662,26,15,2,12540,10013
1,Dracula Origin,747,7,15,2,11050,3435
1,Sherlock Holmes - Nemesis,736,7,15,2,11040,3435
1,Eternity's Child,771,79,15,1,19500,5295
14,Pacific Storm Allies,643,146,15,2,11260,5134
0,Tank Universal,776,5,15,1,19200,2467
13,FlatOut: Ultimate Carnage,775,129,15,2,12360,1414
1,Oddworld: Abe's Exoddus®,173,7,15,1,15710,6334
1,Oddworld: Abe's Oddysee®,143,116,15,1,15700,6334
13,GTR Evolution Expansion Pack for RACE 07,780,129,15,2,8660,7941
16,X-COM: Enforcer,255,160,15,1,7770,5690
16,X-COM: Apocalypse,128,160,15,1,7660,5690
16,X-COM: UFO Defense,49,160,15,1,7760,5690
0,S.T.A.L.K.E.R.: Clear Sky,783,109,15,2,20510,3541
0,Crysis Warhead®,785,5,15,2,17330,2077
0,Crysis,696,54,15,2,17300,2077
16,X-COM: Interceptor,158,160,15,1,7730,5690
0,The Witcher: Enhanced Edition Director's Cut,784,126,15,2,20900,1489
9,Multiwinia,787,79,15,2,1530,4427
13,STCC - The Game 1 - Expansion Pack for RACE 07,805,129,15,1,8690,7941
16,Children of the Nile: Alexandria,778,30,15,1,17120,8994
16,Sid Meier's Civilization IV: Colonization,788,160,15,2,16810,3238
0,Tom Clancy's Rainbow Six® 3 Gold,336,163,15,2,19830,7266
0,LEGO Batman,791,84,15,2,21000,9138
14,City Life 2008,765,146,15,2,4460,5844
12,Hinterland,792,126,15,2,17140,8994
0,Brothers in Arms: Hell's Highway™,795,5,15,2,15390,3675
9,Gravitron 2,779,11,15,1,21300,2268
13,Xpand Rally Xtreme,589,129,15,1,3050,8774
16,Heroes of Might & Magic V: Hammers of Fate,583,160,15,2,15380,6180
0,Brothers in Arms: Earned in Blood™,490,5,15,2,19800,3675
16,Heroes of Might & Magic V: Tribes of the East,685,160,15,2,15370,6180
16,The Settlers®: Rise Of An Empire Gold Edition,739,160,15,2,19930,1235
4,Brain Spa,675,26,15,2,15350,9274
0,The Sum of All Fears,305,5,15,2,19810,7265
4,Peggle™ Nights,799,26,15,1,3540,6896
9,World of Goo,797,122,15,2,22000,56
0,X3: Terran Conflict,800,152,15,2,2820,2838
0,Mare Nostrum,801,5,11,0,1230,7702
4,Spectraball,803,26,15,1,18300,7890
9,Galactic Bowling,804,79,15,2,20200,6641
0,Bully: Scholarship Edition,804,109,15,2,12200,7462
0,Far Cry® 2: Fortune's Edition,805,109,15,2,19900,9284
0,Space Trader: Merchant Marine,806,5,15,1,11240,5634
14,PRR Wagon Pack 01,837,146,15,1,256522,7144
14,"Class 421 London South East ""Jaffa Cake""",837,146,15,1,275144,7144
14,ATSF Wagon Pack 01,837,146,15,1,256521,7144
14,GP20 Union Pacific Add-on Livery,837,146,15,1,222569,7333
14,UK Van Wagon Pack,837,146,15,1,256535,7144
14,CSX SD70MAC Add-on Livery,837,146,15,1,256611,2612
14,CSX ES44AC Add-on Livery,837,146,15,1,256576,2612
0,Saints Row 2,844,109,15,2,9480,9571
0,Dead Space,803,75,15,2,17470,2741
12,Rise of the Argonauts,830,126,15,2,12770,5203
0,Mirror's Edge™,840,111,15,2,17410,2166
9,Defense Grid: The Awakening,825,166,15,2,18500,4070
0,F.E.A.R. 2: Project Origin,849,75,15,2,16450,5834
16,Harvest: Massive Encounter,724,160,15,2,15400,6491
9,Mayhem Intergalactic,656,79,15,2,18600,4430
0,Larva Mortus,868,5,15,1,11340,5634
16,Knights of Honor,465,160,15,2,25830,1161
0,Ceville,856,7,15,2,23460,7221
16,Empire: Total War™ - Special Forces Units & Bonus Content,859,160,15,1,10600,8842
0,Watchmen: The End is Nigh,859,5,15,1,21010,2358
0,Penumbra Overture,627,75,15,2,22180,3422
0,Unreal Tournament 3 Black,699,54,15,2,13210,2955
12,Drakensang,856,126,15,2,12640,7125
9,The Graveyard,729,178,15,1,27020,8660
13,Burnout Paradise: The Ultimate Box,847,129,15,2,24740,2039
0,The Maw,861,79,15,2,26000,9235
0,The Maw: River Redirect,865,5,15,1,26006,9235
0,The Maw: Brute Force,865,5,15,1,26005,9235
4,Obulis,868,122,15,1,11330,4445
9,Space Giraffe,868,120,15,2,27800,5226
14,Codename: Panzers - Cold War,862,160,15,2,9850,4386
4,Escape Rosecliff Island,880,26,15,1,3600,8233
12,Guild Wars Nightfall,579,126,11,2,29580,682
12,Guild Wars,461,126,11,2,29540,682
12,Guild Wars Factions,526,92,11,2,29560,682
10,Guild Wars Trilogy,789,126,11,2,29570,682
4,Puzzle Kingdoms,881,26,11,2,23700,4362
4,Samantha Swift and the Golden Touch,885,26,15,2,16060,5900
12,Two Worlds Epic Edition,886,126,15,2,1930,7217
16,Helldorado,886,160,15,2,18470,8206
0,X-Blades,848,5,15,2,7510,3552
0,Zeno Clash,883,5,15,2,22200,194
9,The Maw: Speeder Lane,885,79,15,1,26007,9235
12,King's Bounty: The Legend,788,126,15,2,25900,29
4,Virtual Families,890,146,15,2,16200,5070
13,Death Track®: Resurrection,890,129,15,1,7840,7999
12,Freedom Force vs. the Third Reich,448,126,15,1,8890,4472
12,Freedom Force,296,126,15,1,8880,4472
9,Light of Altair,901,160,15,2,34500,7676
0,Darkest Hour: Europe '44-'45,902,184,11,0,1280,2292
0,Prototype™,903,5,15,2,10150,7120
1,Blueberry Garden,3221,7,15,1,29160,2973
16,Port Royale 2,403,160,15,1,12470,743
12,The Elder Scrolls IV: Oblivion® Game of the Year Edition,673,109,15,2,22330,1046
12,The Elder Scrolls III: Morrowind® Game of the Year Edition,302,126,15,2,22320,1046
1,Ankh 2: Heart of Osiris,640,7,15,1,12440,2373
14,Armored Fist 3,199,146,15,2,32710,6247
14,MiG-29 Fulcrum,166,146,15,2,32740,6247
16,BC Kings,783,160,15,1,12460,5537
0,Call of Juarez®: Bound in Blood,909,181,15,2,21980,8774
1,Nancy Drew®: Legend of the Crystal Skull,677,7,15,2,31860,3998
1,Nancy Drew®: The Creature of Kapu Cave,568,7,15,2,31900,3998
1,Nancy Drew®: The Phantom of Venice,760,7,15,2,31920,3998
1,Nancy Drew®: The White Wolf of Icicle Creek,654,7,15,2,31930,3998
4,BRAINPIPE: A Plunge to Unhumanity,834,26,15,0,35800,2496
1,Tales of Monkey Island Complete Pack,912,7,15,2,31170,8788
0,Street Fighter® IV,912,58,15,2,21660,1559
0,Thrillville®: Off the Rails™,681,146,15,2,6080,3444
1,Indiana Jones® and the Fate of Atlantis™,29,7,15,2,6010,5299
0,Armed and Dangerous®,381,5,15,2,6090,6797
0,"Star Wars: Battlefront 2 (Classic, 2005)",498,156,15,2,6060,6534
1,Indiana Jones® and the Last Crusade™,13,7,15,2,32310,5299
0,LEGO® Indiana Jones™: The Original Adventures,752,7,15,2,32330,9138
1,The Secret of Monkey Island: Special Edition,915,117,15,2,32360,5299
16,Warfare,819,160,15,2,35300,3527
0,Clutch,900,129,15,2,35310,8684
1,Nancy Drew®: Ransom of the Seven Ships,918,7,15,2,31980,3998
15,3D Ultra™ Minigolf Adventures,598,155,15,2,10140,9628
1,King's Quest™ Collection,556,7,15,2,10100,7906
0,TimeShift™,690,5,15,2,10130,7659
1,Space Quest™ Collection,556,7,15,2,10110,7906
0,Killing Floor Outbreak Character Pack,919,5,15,2,1256,9194
0,Aces of the Galaxy™,753,5,15,2,10120,712
14,Tropico Reloaded,919,146,15,2,33520,6898
4,Mystery P.I. - Lost in Los Angeles,920,26,15,1,3610,8233
0,Bionic Commando: Rearmed,774,5,15,2,21680,1559
0,Bionic Commando,921,5,15,2,21670,1559
0,Watchmen: The End is Nigh Part 2,922,5,15,1,21030,2358
0,Foreign Legion: Buckets of Blood,925,5,15,1,36000,7677
1,STAR WARS™ - Knights of the Old Republic™,377,126,15,2,32370,1105
9,Osmos,931,79,15,2,29180,4039
12,Fallout 2: A Post Nuclear Role Playing Game,175,126,15,2,38410,1152
16,Fallout Tactics: Brotherhood of Steel,247,118,15,2,38420,23
0,Kingpin — Life of Crime,194,5,15,2,38430,9874
1,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,932,7,15,2,31180,8788
4,Jewel Quest Pack,933,26,15,2,37960,10219
4,Mahjong Quest Collection,933,26,15,2,38000,10219
1,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",906,117,15,1,37400,7978
0,Tom Clancy's Splinter Cell Chaos Theory®,454,157,15,2,13570,9284
16,XIII Century – Gold Edition,934,160,15,1,34420,9328
14,World of Zoo,973,146,15,2,43100,1240
0,Mini Ninjas,939,7,15,2,35000,4228
1,Windosill,897,26,15,1,37600,9442
14,Train Simulator: Colton & Northern Route Add-On,952,146,15,2,24029,463
1,Midnight Mysteries,953,7,15,2,32140,5900
1,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,938,7,15,2,31190,8788
0,Joint Operations: Combined Arms Gold,931,5,15,2,32770,6247
14,Train Simulator: US Loco & Asset Pack,955,146,15,2,208306,2612
14,DinerTown Tycoon,954,26,15,2,37300,6814
14,Train Simulator: European Loco & Asset Pack,955,146,15,2,208300,2612
12,Risen,973,126,15,2,40300,6729
4,Flora's Fruit Farm,955,26,15,1,35070,4118
16,Empire: Total War™ - The Warpath Campaign,957,160,15,2,10606,8842
1,Machinarium,965,117,15,2,40700,498
0,Medal of Honor: Airborne,671,5,15,2,24840,2740
13,Need for Speed: Shift,944,129,15,2,24870,8036
12,Torchlight,970,126,15,2,41500,7551
16,Command & Conquer: Red Alert 3 - Uprising,863,160,15,2,24800,2740
16,The Stronghold Collection,970,160,15,2,901735,3253
16,East India Company: Privateer,970,160,15,1,42800,6177
0,Painkiller: Resurrection,970,5,15,2,39560,4112
12,SpellForce 2 - Anniversary Edition,972,160,15,2,39550,6676
1,Secret Files: Tunguska,972,7,15,2,40330,566
16,Rush for Berlin Gold,972,160,15,1,40320,8392
1,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,959,7,15,2,31200,8788
16,Men of War: Red Tide,974,160,15,1,3130,29
0,Hammerfight,947,5,15,1,41100,4946
0,SpellForce - Platinum Edition,975,126,15,2,39540,6675
16,Massive Assault: Phantom Renaissance,447,160,15,2,34640,9643
16,Massive Assault,370,160,15,2,34630,9643
0,Serious Sam HD: The First Encounter,988,54,15,2,41000,2047
1,Secret Files 2: Puritas Cordis,972,7,15,2,40340,566
12,Dragon Age: Origins,978,126,15,2,17450,1103
0,Aztaka,891,126,15,1,37100,1765
9,Magnetis,977,79,15,1,37500,9964
16,For The Glory: A Europa Universalis Game,980,160,15,2,42810,2072
0,Call of Duty®: Modern Warfare® 2,981,5,15,2,10180,4369
1,LEGO® Star Wars™ - The Complete Saga,981,84,15,2,32440,9139
12,Overlord™,653,126,15,1,11450,9201
12,Overlord™: Raising Hell,718,126,15,2,12710,9201
16,Command & Conquer 3: Tiberium Wars,625,160,15,2,24790,2740
9,Yumsters 2: Around the World,767,26,15,1,29120,4966
16,Command & Conquer 3: Kane's Wrath,982,160,15,2,24810,2740
9,Gratuitous Space Battles,983,160,15,2,41800,6905
14,Wings of Prey,1006,146,15,2,45300,3552
0,The Bard's Tale,470,126,15,2,41900,10235
0,Defence Alliance 2,968,100,15,0,35420,2391
0,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,975,5,15,2,32430,5300
12,Fallout 3: Game of the Year Edition,962,109,15,2,22370,1046
16,Gratuitous Space Battles: The Tribe,1000,160,15,2,41802,6905
14,Build-A-Lot,678,146,15,2,38080,4085
14,Build-A-Lot 2: Town of the Year,740,146,15,2,38090,4085
14,Build-A-Lot 3: Passport to Europe,843,146,15,2,38100,4085
4,Coconut Queen,1001,26,15,2,38070,10219
4,Roogoo,1001,26,15,1,38210,8219
0,Devil May Cry 4,763,5,15,2,45700,1559
0,Avencast: Rise of the Mage,1042,126,15,2,46410,1797
14,Build-A-Lot 4: Power Source,928,146,15,2,38110,4085
0,"Pirates, Vikings, and Knights II",1025,62,11,0,17570,6325
4,Farm Frenzy 2,777,26,15,1,38130,393
4,Farm Frenzy 3: American Pie,1008,26,15,2,38160,393
4,Farm Frenzy 3,942,26,15,2,38150,393
4,Farm Frenzy,704,26,15,1,38120,393
4,Farm Frenzy: Pizza Party,851,26,15,1,38140,393
4,Cake Mania Main Street™,1026,26,15,2,36300,7700
16,Westward® IV: All Aboard,1026,160,15,2,36310,7700
1,Iron Roses,1026,7,15,2,36320,1626
16,UFO: Extraterrestrials Gold,1027,160,15,2,37030,1667
1,LEGO® Indiana Jones™ 2: The Adventure Continues,1028,7,15,2,32450,9138
0,Super Laser  Racer,1028,129,15,1,44100,6094
16,Hearts of Iron III: Soviet Infantry Pack DLC,1028,160,11,1,25960,6561
0,NecroVisioN: Lost Company,1029,5,15,2,46250,8854
4,Cradle of Persia,702,26,15,2,38180,826
0,Aliens vs. Predator Swarm Map Pack,1043,5,15,2,10695,7227
0,Serious Sam Classic: The First Encounter,250,5,15,2,41050,2047
14,Train Simulator: Fort Kent to Eagle Lake Route Add-On,1044,146,15,2,24055,463
0,Mount & Blade: Warband,1049,96,15,2,48700,8661
0,Coniclysm,1046,5,15,1,39900,10061
0,Plain Sight,1051,5,11,1,49900,971
0,Lead and Gold: Gangs of the Wild West,1054,181,11,2,42120,3187
0,Grand Theft Auto: Episodes from Liberty City,1056,109,15,2,12220,7464
0,Dark Void™ Zero,1056,5,15,1,45730,6453
9,Fortix,1057,79,15,1,45400,6037
0,Beat Hazard,1058,103,15,2,49600,1858
1,Sam & Max: The Devil’s Playhouse,1058,7,15,2,901399,8788
14,M.U.D. TV,1060,146,15,2,43500,7221
14,Wings of Luftwaffe Add-on,1060,146,15,1,45302,3552
1,The Misadventures of P.B. Winterbottom,1061,79,15,1,40930,8886
0,AquaNox 2: Revelation,352,5,15,1,39640,8623
0,AquaNox,290,5,15,1,39630,8623
4,Fluttabyes,1061,79,15,1,23150,7241
4,Hidden Expedition: Titanic,545,26,15,2,50940,1067
4,Hidden Expedition: Amazon,756,26,15,2,50920,1067
16,Napoleon: Total War™ - Coalition Battle Pack,1067,160,3,1,34178,8841
4,Fitness Dash™,836,26,15,2,37340,7710
4,Gemini Lost™,951,26,15,2,37390,6814
4,DinerTown Detective Agency™,920,74,15,2,37310,275
4,Hotel Dash™ Suite Success™,1005,26,15,2,49000,6814
4,Nightshift Legacy: The Jaguar's Eye™,1044,74,15,2,37330,6814
4,The Nightshift Code™,716,74,15,2,37320,6814
4,TriJinx: A Kristine Kross Mystery™,709,26,15,2,37370,6814
4,Valerie Porter and the Scarlet Scandal™,1002,74,15,2,37380,6814
0,Biozone,1068,5,15,2,19080,3513
0,Rocket Knight,1069,5,15,2,19030,1794
0,Flight of the Icarus,1070,79,15,1,49800,5906
4,Puzzler World,1079,26,15,1,33650,4266
0,Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,1085,7,15,2,901478,9274
4,Ziro,1079,26,15,1,33660,4934
0,Altered Beast™,1080,5,15,1,34281,7594
0,Comix Zone™,1080,5,15,1,34272,7594
0,SEGA Mega Drive and Genesis Classics,1080,5,15,2,34270,2153
0,Golden Axe™,1080,5,15,1,34276,7594
0,Ecco the Dolphin™,1080,5,15,1,34274,7594
16,Gain Ground™,1080,160,15,1,34275,7594
0,Shinobi™ III: Return of the Ninja Master,1080,5,15,1,34277,7594
0,Crack Down™,1080,5,15,1,34273,7594
0,VectorMan™,1080,5,15,1,34280,7594
0,Shadow Dancer™,1080,5,15,1,34282,7594
0,Space Harrier™ II,1080,5,15,1,34279,7594
0,Alpha Protocol™,1080,126,15,2,34010,6316
0,Alien Breed: Impact,1082,5,15,2,22610,8763
12,Fallout 3 - Point Lookout,1107,126,15,1,22440,1046
16,Defense Grid: Resurgence Map Pack 1,1081,160,15,1,18508,4070
12,Fallout 3 - Mothership Zeta,1107,126,15,1,22430,1046
12,Fallout 3 - Broken Steel,1107,126,15,1,22410,1046
12,Fallout 3 - The Pitt,1107,126,15,1,22420,1046
0,Alien Swarm,1108,62,15,0,630,9422
12,Fallout 3 - Operation Anchorage,1107,126,15,1,22400,1046
14,SimCity™ 4 Deluxe Edition,359,146,15,2,24780,2738
16,Disciples III - Renaissance Steam Special Edition,1107,160,15,2,33670,378
4,Tidalis,1107,26,15,1,40420,665
0,Razor2: Hidden Skies,1108,5,15,2,34920,4429
16,The Settlers 7: Uncharted Land Map Pack,1109,160,15,1,48136,1235
12,Dimensity,825,126,15,2,46720,2206
0,Kane & Lynch 2: Dog Days,1120,5,15,2,28000,4228
14,The Guild II Renaissance,1111,160,15,2,39680,7545
16,Hearts of Iron III DLC: German II Spritepack,1110,160,11,1,25962,6561
14,Trainz Simulator DLC: Blue Comet,1116,146,15,2,24634,5959
16,Fantasy Wars,1116,160,15,1,63900,4389
0,Mafia II,1237,5,15,2,50130,70
14,Train Simulator: Network Southeast Class 47 Loco Add-On,1116,146,15,1,24075,2612
12,Puzzle Quest 2,1117,126,15,2,47540,4362
0,Burn Zombie Burn!,1117,5,15,2,50510,10163
9,Madballs B*D*I Clan Skins,1119,79,15,1,25760,6821
9,Madballs Scorched Evolution Skin Rollup,1119,79,15,1,25763,6821
9,Madballs BDI Evolution Skin Rollup,1119,79,15,1,25762,6821
9,Madballs Holiday Skin Rollup,1119,79,15,1,25764,6821
16,Victoria I Complete,1122,160,11,2,42980,6559
14,Ship Simulator Extremes,1126,146,15,2,48800,9401
16,Worms Reloaded,1125,160,15,2,22600,8760
9,Making History II: The War of the World,1093,160,15,2,46770,5921
0,Arma 2: British Armed Forces,1126,146,15,2,65700,1287
16,Victoria II,1127,69,15,2,42960,6559
9,Madballs Scorched Clan Skins,1119,79,15,1,25761,6821
0,Kane & Lynch 2: The Doggie Bag,1128,5,15,2,28010,4228
0,Kane & Lynch 2: Multiplayer Masks Pack,1128,5,15,1,28012,4228
14,Trainz: Classic Cabon City,1129,146,15,2,24640,5959
0,Kane & Lynch 2: Alliance Weapon Pack,1128,5,15,1,28011,4228
16,Cossacks: Back to War,323,160,15,1,4850,3541
1,Broken Sword: Director's Cut,1130,7,15,2,57640,7364
4,Chime,1132,26,15,1,62100,10066
0,Mafia II DLC: Jimmy's Vendetta,1132,5,15,2,50145,70
0,Sniper: Ghost Warrior - Map Pack,1134,5,11,1,34841,1766
0,VVVVVV,1133,116,15,1,70300,8815
16,The Settlers 7: Conquest - The Empire Expansion DLC,1134,160,15,1,48137,1235
0,Amnesia: The Dark Descent,1134,75,15,2,57300,3422
12,Recettear: An Item Shop's Tale,1136,24,15,2,70400,2783
0,Swarm Arena,1121,79,15,1,46600,2382
0,Super Thunder Blade™,1137,5,15,1,34314,7594
0,Galaxy Force II™,1137,5,15,1,34310,7594
14,Hacker Evolution,1138,146,15,1,70100,10189
9,Hacker Evolution: Untold,1138,146,15,1,70110,10189
4,Faerie Solitaire,1140,25,15,2,38600,8487
16,Patrician IV - Steam Special Edition,1140,160,15,2,57620,3653
0,Bonanza Bros.™,1137,5,15,1,34284,7594
12,King's Bounty: Crossworlds,1140,126,15,2,63910,4817
14,Train Simulator: Green & Gold HST DMU Add-On,1140,146,15,1,24082,2612
16,Sid Meier's Civilization® V,1142,170,15,2,8930,3240
16,Commander: Conquest of the Americas - Colonial Navy,1142,160,15,1,49310,6177
0,Serious Sam Classic: The Second Encounter,295,5,15,2,41060,2047
9,Star Ruler,1141,160,15,2,70900,1205
0,Blade Kitten,1143,10,15,1,9940,4977
0,Alien Breed 2: Assault,1143,5,15,2,22650,8760
0,Darksiders™,1144,5,15,2,50620,9487
14,X: Beyond the Frontier,195,146,15,1,2840,2838
16,The Kings' Crusade,1151,160,15,2,42920,6041
0,Guild Wars: Eye of the North®,669,92,15,2,29700,682
14,X: Tension,223,146,15,1,2850,2838
12,Age of Wonders II: The Wizard's Throne,3230,160,15,2,61510,9200
1,Governor of Poker 2,1152,26,15,2,70200,4194
1,Governor of Poker 2 - Premium Edition,1152,26,15,2,70210,4194
12,Age of Wonders Shadow Magic,3230,160,15,2,61520,9200
12,Age of Wonders,3230,160,15,2,61500,9200
0,Medal of Honor™,1153,54,15,2,47790,2869
9,Grotesque Tactics: Evil Heroes,1155,126,15,2,46450,4005
0,Lost Planet® 2,1155,5,15,2,45750,1477
1,Doc Clock: The Toasted Sandwich of Time,1155,26,15,1,57800,8366
0,Fallout: New Vegas,1156,109,15,2,22380,6316
0,The Polynomial - Space of the music,1155,79,15,2,67000,2564
1,Puzzle Bots,1158,7,15,1,80300,4493
