publisher,genres,game,title,release_date,price,id,developer
Rockstar Games,['Action'],Max Payne 2: The Fall of Max Payne,Max Payne 2: The Fall of Max Payne,2003,9.99,12150,Remedy Entertainment
Square Enix,"['Action', 'Adventure']",Tomb Raider: Legend,Tomb Raider: Legend,2006,6.99,7000,Crystal Dynamics
Rockstar Games,['Action'],Max Payne,Max Payne,2001,9.99,12140,Remedy Entertainment
Electronic Arts,['Strategy'],Command & Conquer: Red Alert 3,Command &amp; Conquer: Red Alert 3,2008,19.99,17480,EA Los Angeles
"D3Publisher of America, Inc.",['Casual'],PuzzleQuest: Challenge of the Warlords,PuzzleQuest: Challenge of the Warlords,2007,9.99,12500,Infinite Interactive
Strategy First,"['RPG', 'Casual', 'Adventure']",Culpa Innata,Culpa Innata,2007,9.99,12310,Momentum Digital Media Technologies
"ValuSoft, Retroism",['Strategy'],Prison Tycoon 3™: Lockdown,Prison Tycoon 3™: Lockdown,2007,9.99,12510,"Gamebryo,Virtual Playground"
"ValuSoft, Retroism","['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,Hunting Unlimited™ 2008,2007,9.99,12530,SCS Software
"ValuSoft, Retroism",['Racing'],18 Wheels of Steel: American Long Haul,18 Wheels of Steel: American Long Haul,2007,9.99,12520,SCS Software
Square Enix,['Action'],Conflict: Denied Ops,Conflict: Denied Ops,2008,5.99,8100,Pivotal Games
Bohemia Interactive,['Action'],ARMA: Combat Operations,ARMA: Combat Operations,2007,7.99,2780,Bohemia Interactive
Retroism,['Simulation'],Tycoon City: New York,Tycoon City: New York,2006,9.99,9730,
THQ Nordic,['Action'],Desperados 2: Cooper's Revenge,Desperados 2: Cooper's Revenge,2006,9.99,9710,Spellbound
1C Company,"['Action', 'Adventure']",Death to Spies,Death to Spies,2007,4.99,9800,Haggard Games
Atari,['Action'],Act of War: High Treason,Act of War: High Treason,2006,2.99,9760,Eugen Systems
"Atari, Aspyr (Mac)","['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,RollerCoaster Tycoon® 3: Platinum,2006,19.99,2700,"Frontier,Aspyr (Mac)"
Atari,['Action'],Act of War: Direct Action,Act of War: Direct Action,2005,2.99,2710,Eugen Systems
"Epic Games, Inc.",['Action'],Unreal 2: The Awakening,Unreal 2: The Awakening,2003,14.99,13200,"Epic Games, Inc."
"Epic Games, Inc.",['Action'],Unreal Gold,Unreal Gold,1998,9.99,13250,"Epic Games, Inc."
Nunchuck Games,"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,Ninja Reflex: Steamworks Edition,2008,4.99,13000,Sanzaru Games
Ubisoft,['Action'],Tom Clancy's Splinter Cell®,Tom Clancy's Splinter Cell®,2003,9.99,13560,Ubisoft
Ubisoft,['Action'],Far Cry®,Far Cry®,2004,9.99,13520,Crytek Studios
"Epic Games, Inc.",['Action'],Unreal Tournament: Game of the Year Edition,Unreal Tournament: Game of the Year Edition,2000,9.99,13240,"Epic Games, Inc."
Ubisoft,['Action'],Tom Clancy's Rainbow Six® Vegas,Tom Clancy's Rainbow Six® Vegas,2006,9.99,13540,Ubisoft Montreal
Ubisoft,['Simulation'],Silent Hunter® III,Silent Hunter® III,2005,9.99,15210,Ubisoft
Last Day of Work,"['Casual', 'Simulation']",Virtual Villagers - The Secret City,Virtual Villagers - The Secret City,2008,9.99,16180,Last Day of Work
"PopCap Games, Inc.",['Casual'],Mystery P.I.™ - The Vegas Heist,Mystery P.I.™ - The Vegas Heist,2008,4.99,3520,SpinTop Games
MumboJumbo,['Casual'],Luxor,Luxor,2008,9.99,15970,MumboJumbo
MumboJumbo,['Casual'],Reaxxion,Reaxxion,2008,9.99,15950,MumboJumbo
MumboJumbo,['Casual'],Little Farm,Little Farm,2008,9.99,15960,MumboJumbo
MumboJumbo,['Casual'],7 Wonders II,7 Wonders II,2008,9.99,15900,MumboJumbo
MumboJumbo,['Casual'],Luxor Amun Rising,Luxor Amun Rising,2005,9.99,15910,MumboJumbo
MumboJumbo,['Casual'],Luxor 3,Luxor 3,2007,9.99,15930,MumboJumbo
Ubisoft,['Simulation'],Petz® Horsez® 2,Petz® Horsez® 2,2007,9.99,15160,Ubisoft
MumboJumbo,['Casual'],Luxor 2,Luxor 2,2005,9.99,15920,MumboJumbo
Ubisoft,"['Action', 'Adventure']",Rayman Raving Rabbids™,Rayman Raving Rabbids™,2007,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier"
Ubisoft,['Simulation'],Silent Hunter®: Wolves of the Pacific,Silent Hunter®: Wolves of the Pacific,2007,9.99,15200,Ubisoft Romania
1C Online Games,['Simulation'],IL-2 Sturmovik: 1946,IL-2 Sturmovik: 1946,2006,9.99,15320,1C: Maddox Games
Ubisoft,['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008,9.99,15240,Ubisoft Romania
Telltale Games,['Adventure'],Bone: Out From Boneville,Bone: Out From Boneville,2005,9.99,8310,Telltale Games
"ValuSoft, Retroism",['Racing'],Midnight Outlaw: 6 Hours to SunUp,Midnight Outlaw: 6 Hours to SunUp,2005,9.99,12600,"Merscom,Babylon"
Telltale Games,['Adventure'],Bone: The Great Cow Race,Bone: The Great Cow Race,2006,9.99,8320,Telltale Games
"ValuSoft, Retroism",['Racing'],Sprint Cars Road to Knoxville,Sprint Cars Road to Knoxville,2008,9.99,12590,BigAnt Studios
ValuSoft,,Dr. Daisy Pet Vet,Dr. Daisy Pet Vet,2008,9.99,12580,Zemnott
"ValuSoft, Retroism",['Simulation'],Ride! Carnival Tycoon,Ride! Carnival Tycoon,2007,9.99,12560,Gabriel Entertainment
ValuSoft,,Hot Dish,Hot Dish,2008,9.99,12570,Zemnott
"ValuSoft, Retroism",['Casual'],Mahjongg Investigations: Under Suspicion,Mahjongg Investigations: Under Suspicion,2007,9.99,12540,Zemnott
Frogwares,['Adventure'],Dracula Origin,Dracula Origin,2008,9.99,11050,Frogwares
SEGA,['Sports'],Beijing 2008™ - The Official Video Game of the Olympic Games,Beijing 2008™ - The Official Video Game of the Olympic Games,2008,,10520,Eurocom
Frogwares,"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,Sherlock Holmes - Nemesis,2008,9.99,11040,Frogwares
Silver Sphere Studios,"['Adventure', 'Indie']",Eternity's Child,Eternity's Child,2008,4.99,19500,"Luc Bernard,SilverSphereStudios"
Buka Entertainment,"['Simulation', 'Strategy']",Pacific Storm Allies,Pacific Storm Allies,2007,7.99,11260,Lesta Studio
Meridian4,"['Action', 'Indie']",Tank Universal,Tank Universal,2008,4.99,19200,Dialogue Design
Strategy First,['Racing'],FlatOut: Ultimate Carnage,FlatOut: Ultimate Carnage,2008,19.99,12360,Bugbear Entertainment
Oddworld Inhabitants,['Adventure'],Oddworld: Abe's Exoddus®,Oddworld: Abe's Exoddus®,1998,2.99,15710,Oddworld Inhabitants
Oddworld Inhabitants,['Adventure'],Oddworld: Abe's Oddysee®,Oddworld: Abe's Oddysee®,1997,2.99,15700,Oddworld Inhabitants
SimBin,['Racing'],GTR Evolution Expansion Pack for RACE 07,GTR Evolution Expansion Pack for RACE 07,2008,7.99,8660,SimBin
2K Games,['Strategy'],X-COM: Enforcer,X-COM: Enforcer,2001,4.99,7770,"MicroProse Software, Inc"
2K Games,['Strategy'],X-COM: Apocalypse,X-COM: Apocalypse,1997,4.99,7660,"MicroProse Software, Inc"
2K Games,['Strategy'],X-COM: UFO Defense,X-COM: UFO Defense,1993,4.99,7760,"MicroProse Software, Inc"
GSC World Publishing,"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,S.T.A.L.K.E.R.: Clear Sky,2008,9.99,20510,GSC Game World
Electronic Arts,['Action'],Crysis Warhead®,Crysis Warhead®,2008,19.99,17330,Crytek
Electronic Arts,['Action'],Crysis,Crysis,2007,19.99,17300,Crytek
2K Games,['Strategy'],X-COM: Interceptor,X-COM: Interceptor,1998,4.99,7730,"MicroProse Software, Inc"
"CD PROJEKT RED, 1C-SoftClub","['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,The Witcher: Enhanced Edition Director's Cut,2008,9.99,20900,CD PROJEKT RED
Introversion Software,['Indie'],Multiwinia,Multiwinia,2008,9.99,1530,Introversion Software
SimBin,['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,STCC - The Game 1 - Expansion Pack for RACE 07,2008,2.99,8690,SimBin
"Tilted Mill Entertainment, Inc.","['Strategy', 'Simulation']",Children of the Nile: Alexandria,Children of the Nile: Alexandria,2008,2.49,17120,"Tilted Mill Entertainment, Inc."
2K Games,['Strategy'],Sid Meier's Civilization IV: Colonization,Sid Meier's Civilization IV: Colonization,2008,19.99,16810,Firaxis Games
Ubisoft,['Action'],Tom Clancy's Rainbow Six® 3 Gold,Tom Clancy's Rainbow Six® 3 Gold,2003,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal"
Warner Bros. Interactive Entertainment,"['Action', 'Adventure']",LEGO Batman,LEGO Batman,2008,19.99,21000,Traveller's Tales
Focus Home Interactive,"['Simulation', 'Strategy']",City Life 2008,City Life 2008,2008,9.99,4460,Monte Cristo
"Tilted Mill Entertainment, Inc.","['RPG', 'Strategy']",Hinterland,Hinterland,2008,9.99,17140,"Tilted Mill Entertainment, Inc."
Ubisoft,['Action'],Brothers in Arms: Hell's Highway™,Brothers in Arms: Hell's Highway™,2008,9.99,15390,Gearbox Software
Dark Castle Software,"['Indie', 'Casual']",Gravitron 2,Gravitron 2,2008,4.99,21300,Dark Castle Software
Techland,['Racing'],Xpand Rally Xtreme,Xpand Rally Xtreme,2006,4.99,3050,Techland
Ubisoft,['Strategy'],Heroes of Might & Magic V: Hammers of Fate,Heroes of Might &amp; Magic V: Hammers of Fate,2006,9.99,15380,Nival
Ubisoft,['Action'],Brothers in Arms: Earned in Blood™,Brothers in Arms: Earned in Blood™,2005,9.99,19800,Gearbox Software
Ubisoft,['Strategy'],Heroes of Might & Magic V: Tribes of the East,Heroes of Might &amp; Magic V: Tribes of the East,2007,9.99,15370,Nival
Ubisoft,['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,The Settlers®: Rise Of An Empire Gold Edition,2008,19.99,19930,Blue Byte
Ubisoft,['Casual'],Brain Spa,Brain Spa,2007,9.99,15350,Ubisoft
Ubisoft,['Action'],The Sum of All Fears,The Sum of All Fears,2002,9.99,19810,Red Storm Entertainment
"PopCap Games, Inc.",['Casual'],Peggle™ Nights,Peggle™ Nights,2008,4.99,3540,"PopCap Games, Inc."
2D BOY,['Indie'],World of Goo,World of Goo,2008,9.99,22000,2D BOY
Egosoft,"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,X3: Terran Conflict,2008,15.99,2820,Egosoft
Tripwire Interactive,['Action'],Mare Nostrum,Mare Nostrum,2008,0,1230,Sandstorm Productions
Shorebound Studios,"['Casual', 'Indie']",Spectraball,Spectraball,2008,4.99,18300,Shorebound Studios
Perpetual FX Creative,"['Indie', 'Casual', 'Sports']",Galactic Bowling,Galactic Bowling,2008,19.99,20200,Perpetual FX Creative
Rockstar Games,"['Action', 'Adventure']",Bully: Scholarship Edition,Bully: Scholarship Edition,2008,14.99,12200,Rockstar New England
Ubisoft,['Action'],Far Cry® 2: Fortune's Edition,Far Cry® 2: Fortune's Edition,2008,9.99,19900,Ubisoft Montreal
Meridian4,"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,Space Trader: Merchant Marine,2008,4.99,11240,Meridian4
Dovetail Games,['Simulation'],PRR Wagon Pack 01,PRR Wagon Pack 01,2009,4.99,256522,RailSimulator.com
Dovetail Games,['Simulation'],"Class 421 London South East ""Jaffa Cake""","Class 421 London South East ""Jaffa Cake""",2009,4.99,275144,RailSimulator.com
Dovetail Games,['Simulation'],ATSF Wagon Pack 01,ATSF Wagon Pack 01,2009,4.99,256521,RailSimulator.com
Dovetail Games,['Simulation'],GP20 Union Pacific Add-on Livery,GP20 Union Pacific Add-on Livery,2009,4.99,222569,Reppo
Dovetail Games,['Simulation'],UK Van Wagon Pack,UK Van Wagon Pack,2009,4.99,256535,RailSimulator.com
Dovetail Games,['Simulation'],CSX SD70MAC Add-on Livery,CSX SD70MAC Add-on Livery,2009,4.99,256611,Dovetail Games
Dovetail Games,['Simulation'],CSX ES44AC Add-on Livery,CSX ES44AC Add-on Livery,2009,4.99,256576,Dovetail Games
Deep Silver,['Action'],Saints Row 2,Saints Row 2,2009,9.99,9480,Volition
Electronic Arts,['Action'],Dead Space,Dead Space,2008,19.99,17470,EA Redwood Shores
Codemasters,['RPG'],Rise of the Argonauts,Rise of the Argonauts,2008,9.99,12770,Liquid Entertainment
Electronic Arts,"['Action', 'Adventure']",Mirror's Edge™,Mirror's Edge™,2009,19.99,17410,DICE
Hidden Path Entertainment,"['Indie', 'Strategy']",Defense Grid: The Awakening,Defense Grid: The Awakening,2008,9.99,18500,Hidden Path Entertainment
Warner Bros. Interactive Entertainment,['Action'],F.E.A.R. 2: Project Origin,F.E.A.R. 2: Project Origin,2009,14.99,16450,Monolith
Oxeye Game Studio,"['Strategy', 'Indie']",Harvest: Massive Encounter,Harvest: Massive Encounter,2008,7.99,15400,Oxeye Game Studio
Inventive Dingo,"['Indie', 'Strategy']",Mayhem Intergalactic,Mayhem Intergalactic,2007,9.99,18600,Inventive Dingo
Meridian4,"['Action', 'Indie']",Larva Mortus,Larva Mortus,2009,4.99,11340,Meridian4
Paradox Interactive,['Strategy'],Knights of Honor,Knights of Honor,2005,9.99,25830,Black Sea Studios Ltd
Assemble Entertainment,"['Action', 'Adventure', 'Strategy']",Ceville,Ceville,2009,5.99,23460,Realmforge Studios
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",['Strategy'],Empire: Total War™ - Special Forces Units & Bonus Content,Empire: Total War™ - Special Forces Units &amp; Bonus Content,2009,2.99,10600,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
Warner Bros. Interactive Entertainment,['Action'],Watchmen: The End is Nigh,Watchmen: The End is Nigh,2009,4.99,21010,Deadline Games
Frictional Games,"['Action', 'Adventure', 'Indie']",Penumbra Overture,Penumbra Overture,2007,9.99,22180,Frictional Games
"Epic Games, Inc.",['Action'],Unreal Tournament 3 Black,Unreal Tournament 3 Black,2007,19.99,13210,"Epic Games, Inc."
DTP Entertainment,['RPG'],Drakensang,Drakensang,2009,9.99,12640,Radon Labs
Capcom,"['Casual', 'Strategy']",Age of Booty™,Age of Booty™,2009,,21600,Certain Affinity™
Tale of Tales,"['Indie', 'Simulation']",The Graveyard,The Graveyard,2008,4.99,27020,Tale of Tales
Electronic Arts,['Racing'],Burnout Paradise: The Ultimate Box,Burnout Paradise: The Ultimate Box,2009,19.99,24740,Criterion Games
,['Action'],Zombie Master,Zombie Master,2009,,90047,Zombie Master Team
Twisted Pixel Games,"['Action', 'Indie']",The Maw,The Maw,2009,9.99,26000,Twisted Pixel Games
Twisted Pixel Games,"['Action', 'Indie']",The Maw: River Redirect,The Maw: River Redirect,2009,1.25,26006,Twisted Pixel Games
Twisted Pixel Games,"['Action', 'Indie']",The Maw: Brute Force,The Maw: Brute Force,2009,1.25,26005,Twisted Pixel Games
Meridian4,"['Casual', 'Indie']",Obulis,Obulis,2009,4.99,11330,IonFX
Llamasoft LTD,['Indie'],Space Giraffe,Space Giraffe,2009,9.99,27800,Llamasoft LTD
THQ Nordic,"['Simulation', 'Strategy']",Codename: Panzers - Cold War,Codename: Panzers - Cold War,2009,14.99,9850,"InnoGlow,Stormregion,THQ Nordic"
"PopCap Games, Inc.",['Casual'],Escape Rosecliff Island,Escape Rosecliff Island,2009,4.99,3600,SpinTop Games
NCsoft,"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall,Guild Wars Nightfall®,2006,19.99,29580,ArenaNet®
NCsoft,"['RPG', 'Massively Multiplayer']",Guild Wars,Guild Wars® Game of the Year Edition,2005,19.99,29540,ArenaNet®
